ISBN,Title,Authors,Categories,Description,Published Date,Language,Num Pages
9788532505330,Zona quente,Richard Preston,,"Neste livro, a história do Ebola ganha o ritmo de um 'thriller', com personagens e narrativa especiais dentro de um relato realista e desconcertante. Ainda incurável, sem controle, transmitido até mesmo pelo ar e letal em apenas dez dias, o Ebola mais parece uma peste inspirada nas fábulas mitológicas e apocalípticas. 'Zona quente' descreve detalhadamente o processo de contaminação e de ação do supervírus, e também o risco que representa.",sem dt,pt-BR,319
9788532510495,Amsterdam,Ian McEwan,Composers,"Clive e Vernon, dois amigos de vida inteira, estão presentes no funeral de Molly-amiga comum que os unia também por ter sido amante dos dois em épocas distintas no passado. Atualmente Clive é um famoso compositor às voltas com uma sinfonia encomendada pelo governo para a comemoração do milênio que se avizinha, e Vernon é editor de um dos mais importantes jornais do país. A prolongada doença e a morte de Molly fazem com que os dois homens celebrem um pacto que os envolve em uma trama macabra cujo desfecho é surpreendente. Com um toque de humor e fina erudição, Ian McEwan contrapõe a pureza e leveza dos sons musicais à brevidade e imediatismo das páginas dos jornais e, com rara felicidade, funde dois universos para compor este incrível thriller psicológico.",1999,pt-BR,181
9788532506245,O retorno de Merlim,Deepak Chopra,Fiction,"Neste livro Deepak Chopra recria o Reino de Camelot e resgata seus fantásticos personagens para a vida contemporânea, poluída e cinzenta, de Gramercy, cidade inglesa imaginária. O rei Artur e os cavaleiros mágicos da Távola Redonda transportam-se da Idade Média e desembarcam num thriller policial do século XX. Reencarnado num policial plebeu, Artur Callum, o rei agora é parceiro da detetive Katy Kilbride, que, tudo indica, é Guinevere, sua paixão imemorial. Juntos, eles enfrentam uma missão aparentemente banal - reconhecer o corpo de um velho na estrada, morto provavelmente por atropelamento. Um mendigo, um vagabundo qualquer, não fosse a sua fisionomia idêntica à do mago Merlim que, claro, ambos conhecem muito bem. Logo a vida linear e racional dos habitantes de Gramercy começa a ser sacudida por ondas sobrenaturais. Está novamente instaurado o Reino de Camelot e a luta do rei Artur contra os espíritos do Mal liderados por seu filho bastardo Mordred.",1996-09-11,pt-BR,0
9788532501103,"Adoro música, adoro dançar",Mary Higgins Clark,New York (N.Y.),"Erin Kelley, uma jovem e talentosa designer de jóias, e sua melhor amiga, a decoradora Darcy Scott, saíam com rapazes que conheciam através de classificados pessoais. Elas estavam ajudando uma amiga produtora de televisão, Nona Robertson, na pesquisa sobre o tipo de pessoas que utilizam esses classificados. Mas o que elas não sabem é que um assassino serial também utiliza os classificados pessoais para atrair suas vítimas. Até que, subitamente Erin desaparece. Pouco tempo depois, seu corpo é encontrado sobre um velho píer abandonado de Manhattan. Em um de seus pés está seu sapato, no outro uma delicada sandália de baile. Darcy, então, recebe pelo correio uma caixa com o segundo sapato de Erin e a segunda sandália. Para achar o assassino da amiga, Darcy Scott decide se encontrar com os homens que saíam com Erin. Mas ao procurá-los, ela depara com um curioso obstáculo: o mundo desses classificados é intencionalmente feito para mascarar identidades.",1995,pt-BR,282
9788532505453,Berlim Alexanderplatz,Alfred Döblin,,sem dt,1995,pt-BR,432
9788532504319,A história do ladrão de corpos,Anne Rice,,"A descrição do vampiro Lestat, feita por ele mesmo, pode não combinar com o tipo físico de um Tom Cruise, Daniel Day-Lewis, Hutger Rauer, Jeromy Irons e até Sting foram sondados para o papel de Lestat, no filme inspirado no livro Entrevista com o vampiro, de que 'A história do ladrão de corpos' é continuação. Só que, agora, Lestat pode mudar completamente. Um desconhecido que o persegue em vários lugares do mundo - Veneza, Hong Kong, Miami, Londres e Paris - propõe a troca de seu corpo com o do vampiro. É a oportunidade de Lestat sentir as sensações de um mortal. É a chance de Raglan James experimentar os poderes de um imortal. Esta é uma história contemporânea, passada no final dos anos 80, inclusive no Rio de Janeiro. Depois de alcançar o sucesso durante sua curta carreira de cantor de rock, Lestat se enfronha no candomblé e espiritismo, pelas mãos de David Talbot, um amigo mortal que recusa sua oferta de sangue negro. Torturado por seu amor, suas dúvidas e sua solidão secular, Lestat sonha ser humano outra vez. Ver o sol, beber e comer como qualquer outra pessoa.",2009,pt-BR,463
9788532505682,O Alquimista,Paulo Coelho,,sem dt,1995,pt-BR,126
9788532509307,Da magia à sedução,"Alice Hoffman, CLAUDIA MARTINELLI GAMA",,"O livro conta a história de Gillian e Sally Owens, duas órfãs de um clã de feiticeiras numa pequena cidade do estado do Massachusetts. Criadas pelas tias, que praticam algumas bruxarias light, Gillian e Sally têm uma infância difícil. Afinal, por mais de duzentos anos as mulheres Owens haviam sido responsabilizadas por tudo que saía errado na cidade. Naturalmente as demais crianças faziam de tudo para evitar sua companhia, o que levava as irmãs Owens a viverem em um mundo próprio e sonharem com uma vida normal. Até que elas crescem e tomam seus próprios rumos. Porém, elas têm mais em comum do que os inesquecíveis olhos cinzentos e o conhecimento do poder supernatural das plantas, animais e tempestades. Elas carregam o estigma de uma maldição - não podem apaixonar-se sem colocar em risco a vida do homem que amam.",1999,pt-BR,261
9788532505972,Trapo,Cristóvão Tezza,,"Ao receber de uma estranha, chamada Izolda, o espólio literário de um poeta marginal e suicida de 21 anos, o sistemático e aposentado professor Manuel começa um processo de mudança. A inesperada visitante quer convencê-lo a transformar os escritos do jovem morto, Paulo, em livro. Relutando em aceitar o pedido, que interromperá a sua rotina solitária, Manuel acaba por sucumbir em 'sair de si mesmo para o mundo dos outros', passando a confrontar a sua personalidade conservadora com o mundo do poeta. O contraste entre o mundo novo e a velha rotina de vida é o elemento enfocado por Cristovão Tezza neste livro.",1999,pt-BR,195
9788532504968,A origem do universo,John D. Barrow,,"Em 'A Origem do Universo' o autor John Barrow aborda as questões mais avançadas da cosmologia moderna e discute como saber se o tempo teve um início, por que cientistas acham que deve haver outra dimensão de espaço, o que significa 'universo inflacionário' e quais as conseqüências notáveis dos buracos de minhoca - elos entre partes de espaço e tempo de outra forma desconectados. O autor conta o que os físicos têm a dizer sobre 'criação a partir do nada' e porque nossa própria existência está interligada à origem e estrutura do universo de formas insuspeitas.",1995,pt-BR,124
